由霊山,,,1,名詞,一般,*,*,*,*,*,*,*
巨鼇山,,,1,名詞,一般,*,*,*,*,*,*,*
小松尾山,,,1,名詞,一般,*,*,*,*,*,*,*
琴弾山,,,1,名詞,一般,*,*,*,*,*,*,*
七宝山,,,1,名詞,一般,*,*,*,*,*,*,*
剣五山,,,1,名詞,一般,*,*,*,*,*,*,*
我拝師山,,,1,名詞,一般,*,*,*,*,*,*,*
五岳山,,,1,名詞,一般,*,*,*,*,*,*,*
鶏足山,,,1,名詞,一般,*,*,*,*,*,*,*
桑多山,,,1,名詞,一般,*,*,*,*,*,*,*
仏光山,,,1,名詞,一般,*,*,*,*,*,*,*
金華山,,,1,名詞,一般,*,*,*,*,*,*,*
白牛山,,,1,名詞,一般,*,*,*,*,*,*,*
陵松山,,,1,名詞,一般,*,*,*,*,*,*,*
青峰山,,,1,名詞,一般,*,*,*,*,*,*,*
神毫山,,,1,名詞,一般,*,*,*,*,*,*,*
南面山,,,1,名詞,一般,*,*,*,*,*,*,*
五剣山,,,1,名詞,一般,*,*,*,*,*,*,*
補陀落山,,,1,名詞,一般,*,*,*,*,*,*,*
山号の読み,,,1,名詞,一般,*,*,*,*,*,*,*
じくわざん,,,1,名詞,一般,*,*,*,*,*,*,*
にっしょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
きこうざん,,,1,名詞,一般,*,*,*,*,*,*,*
こくがんざん,,,1,名詞,一般,*,*,*,*,*,*,*
むじんざん,,,1,名詞,一般,*,*,*,*,*,*,*
おんせんざん,,,1,名詞,一般,*,*,*,*,*,*,*
こうみょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
ふみょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
しょうかくざん,,,1,名詞,一般,*,*,*,*,*,*,*
とくどざん,,,1,名詞,一般,*,*,*,*,*,*,*
こんごうざん,,,1,名詞,一般,*,*,*,*,*,*,*
まろざん,,,1,名詞,一般,*,*,*,*,*,*,*
おおくりざん,,,1,名詞,一般,*,*,*,*,*,*,*
せいじゅざん,,,1,名詞,一般,*,*,*,*,*,*,*
やくおうざん,,,1,名詞,一般,*,*,*,*,*,*,*
こうようざん,,,1,名詞,一般,*,*,*,*,*,*,*
るりざん,,,1,名詞,一般,*,*,*,*,*,*,*
ぼようざん,,,1,名詞,一般,*,*,*,*,*,*,*
きょうちざん,,,1,名詞,一般,*,*,*,*,*,*,*
りょうじゅぜん,,,1,名詞,一般,*,*,*,*,*,*,*
しゃしんざん,,,1,名詞,一般,*,*,*,*,*,*,*
はくすいざん,,,1,名詞,一般,*,*,*,*,*,*,*
いおうざん,,,1,名詞,一般,*,*,*,*,*,*,*
むろとざん,,,1,名詞,一般,*,*,*,*,*,*,*
ほうしゅざん,,,1,名詞,一般,*,*,*,*,*,*,*
りゅうずざん,,,1,名詞,一般,*,*,*,*,*,*,*
ちくりんざん,,,1,名詞,一般,*,*,*,*,*,*,*
ほうかいさん,,,1,名詞,一般,*,*,*,*,*,*,*
まにざん,,,1,名詞,一般,*,*,*,*,*,*,*
